Role,Dialogue
고객,계좌의 주식 잔액이 궁금합니다.
상담사,안녕하세요.
고객,000 증권입니다.
상담사,고객님의 계좌번호를 알려 주시겠어요.
고객,저의 계좌번호가 공공공공공공공이에요.
상담사,죄송하지만 안전한 업무 처리를 위하여 본인 확인 하도록 하겠습니다.
고객,전화하신 분이 본인이 맞으신가요?
상담사,"예, 맞습니다."
고객,다음.
상담사,선생님의 출생월일 여섯자리 또는 여덟자리가 어떻게 되시죠?
고객,제 생년월일은 공공공공공공입니다.
상담사,본인 확인이 완료되어 본인이 확인되었습니다.
고객,고객님 계좌의 주식 잔액은 종목 공공공에 수량 공공주예요 예 이상 공공증권 공공공이었습니다.
상담사,주식이 얼마나 있는지 궁금합니다.
고객,반갑습니다.
상담사,고객님 000 증권입니다.
고객,계좌번호가 어떻게 되세요?
상담사,저의 계좌의 번호가 공공공공공공공공으로 알고 있습니다.
고객,우선 업무를 도와드리기 전에 본인확인 먼저 하도록 할게요.
상담사,본인이 맞습니까?
고객,"네, 맞습니다."
상담사,다음 고객님의 생년월일이 어떻게 되십니까?
고객,저의 생년월일은 공공공공공공이에요.
상담사,확인해 주셔서 감사합니다.
고객,"고객님의 계좌에 남은 주식은 종목 공공공의 수량, 공공주예요 망했군요?"
상담사,네 이상 공공증권 상담원 공공공이었습니다.
고객,
