Role,Dialogue
고객,전세금 대출이 뭐죠?
상담사,전 월세 보증금 대출제도입니다.
고객,청년은 몇 살부터 몇 살까지를 말하나요?
상담사,"10019 세부터 10003, 14세 미만을 말합니다."
고객,청년 전세 대금 대출은 미료만 받을 수 있나요?
상담사,아니요.
고객,신혼부부를 위한 전세대출 상품도 있어요.
상담사,현재 공공임대주택에 살고 있어도 대출되나요?
고객,아니요 공공임대주택에 거주시 대출불가입니다.
상담사,청년전세 대금 대출금리는 많이 비싸나요?
고객,많이 비싸지 않아요.
상담사,"고객님, 청년 전세 대금 대출의 금리는 연 1."
고객,2 퍼센트입니다.
상담사,신청인이 집을 이미 보유하고 있으면 안되죠.
고객,네 대출 신청인 및 세대원 전원이 무주택자일 때 가능합니다.
상담사,직장은 중소기업 재직자면 가능한가요?
고객,네 신청인과 배우자의 소득이 5천만 원 이하일 때 가능하십니다.
상담사,그럼 대출한도는 어느정도 되나요?
고객,대출한도는 칠천만원 이하입니다.
상담사,대출받기 위해서는 어떤 서류가 필요하나요?
고객,"신분증, 주민등록 초본, 주민등록등본, 가족관계증명서 그리고 보험자격 특실 확인서도 필요합니다."
상담사,"네, 잘 알겠습니다."
고객,"네, 감사합니다."
상담사,
