Role,Dialogue
고객,대출금리 문의 드립니다.
상담사,금리에는 어떤 것들이 있나요?
고객,대출금리에는 고정금리와 변동금리가 있습니다.
상담사,고정금리가 무엇인가요?
고객,대출 실행 시 결정한 금리가 약정 기간 동안 동일하게 적용되는 금리입니다.
상담사,변동금리는 무엇인가요?
고객,대출 약정기간 내에 기준금리가 변경될 경우 해당 대출금리가 변경되는 금리로써 기준금리가 인상될 경우 고객의 이자 부담이 증가될 수 있습니다.
상담사,변동금리의 기준금리는 어떤 게 있어요?
고객,"국고채 연동형 코픽스, 연동형, CD 연동형 등이 있습니다."
상담사,어떤 게 더 유리한 거죠?
고객,대출 시점마다 다를 수 있습니다.
상담사,대출받을 때 선택할 수 있나요?
고객,"네, 선택하실 수 있습니다."
상담사,신용대출도 변동금리가 있나요?
고객,신용대출은 고정금리 상품입니다.
상담사,대출받으면 보험 해제할 수 없나요?
고객,제한될 수 있습니다.
상담사,어떤 경우에 제한되나요?
고객,고객의 보험이나 담보 재산에 대한 법적 조치 착수.
상담사,원리금액 연체 등 대출거래약정서 제 삼조의 사유발생시 반환채권과의 상계를 위해 해지해야이 제한될 수 있습니다.
고객,"네, 감사합니다."
상담사,
