Role,Dialogue
사기범,아 비엔케이 캐피탈 채권회수팀 최용 과장입니다
피해자,"예, 수고많으십니다. 여보세요?"
사기범,네 말씀하십시오.
피해자,네 저기어 이거 돈좀 갚을려고 하는데요.
사기범,네.
피해자,저기 혹시 그 농협 쪽에서 요청받으셨는지…저기
사기범,아 네 고객님 확인 차 주민 번호 앞자리 여섯 자리 부탁 드리겠습니다
피해자,"예, OOOOOO"
사기범,"네, OOO고객님으로 확인되시는데요."
피해자,"에, 맞아요."
사기범,"네 고객님, 현재 저희 쪽 기대출 이용 중이신데"
피해자,예.
사기범,"예, 지금 엔 에이치 농협 중앙회 쪽으로"
피해자,예.
사기범,고객님 건의 공문이 접수가 되가지고요.
피해자,"예, 전산이관요청이랑 기업부납부증명서 좀 요청좀 드리겠습니다."
사기범,네 이 두가지 공문 들어 왔구요
피해자,예.
사기범,혹시 저희 쪽 자금 전액 상환하시고
피해자,예.
사기범,그 농협에서 저금리 대출 받아 보실려고 하시는 거 아니세요?
피해자,"아 그건 아니고요, 여기 등급관리좀 해야되가지고 제가.."
사기범,네네.
피해자,예 그래가지구 제가…
사기범,예 고객님 그 일 금융권에서 대출이 안 되시는 분들이 그 상 상담사 통해서 지금 뭐 신규 대출 기존 대출 상환하신 다음에 상환 능력 높혀서 이렇게 대출 받아 보신 사례가 있어서 그럼니다.
피해자,"아, 그래요. 그랬으면 좋겠어요."
사기범,왜냐면 지금 요청하신 공문이 이런 사랑 유사에서
피해자,아 그래요.
사기범,"그래서 제가 안내해 드린 거고요. 네 고객님이 아니시라고 하니까 제가 일단 요청해 주신 거, 지금 기업부납부증명서하고 전산이관요청 고객님이 저희 쪽 상환을 다 해주셔야"
피해자,예. 아…
사기범,다 해주셔야 그게 확인 후 저희가 공문을 보내드릴 수가 있습니다.
피해자,"아 그래요, 알겠습니다."
사기범,네 고객님 상환을 안 하신 상태에서는 저희가…
피해자,"상환은 어떻게 해야되요, 그러면?"
사기범,네 일단 지금부터 상환 절차 안내해 드리겠습니다. 고객님.
피해자,네.
사기범,네 잠시만 기다려 주십시오.
피해자,네.
사기범,"네, 여보세요."
피해자,예.
사기범,네네 고객님. 지금 저희 쪽에 채권 회수팀으로 연락주셨구요.
피해자,예.
사기범,네 지금 현재 지금어 지금 중도 상환 금액이 메모 가능하신지?
피해자,네.
사기범,이천 이천 칠백 칠십사만 삼천 삼백 삼십 칠원입니다.
피해자,삼백 삼십 칠원요? 예.
사기범,금액 한번 불러주시겠습니까?
피해자,이천 칠백 칠십 사만 삼천 삼백 삼십 칠원.
사기범,네 그리고 지금 담당자 OOO이고요. OOOOOOOOO 네.
피해자,예..
사기범,네. 납부 계좌는 지금 기업 기업 은행으로 열람되셨구요
피해자,"네, 맞아요."
사기범,네 네 메모 가능하신지요?
피해자,네.
사기범,기업은행
피해자,예.
사기범,"OOOOOOOOO, 네네, 고객님. 지금 예 어저께 그 납부 계좌 부산 은행으로 열람되셨는데…"
피해자,"네, 맞아요."
사기범,네 고객님께서 요청하신 거 때문에 저희 그 채권 회수팀으로 납부를 요청 들어오신 거라
피해자,예.
사기범,제가 담당자 배정받고 계좌 열람해 드린 거구요.
피해자,아 예.
사기범,지금이 계좌 연락 시간이
피해자,예.
사기범,지금 엔 에이치 농협 쪽에서 오전에 처리하신다고 해서
피해자,예.
사기범,지금한 십오 분밖에 열람이 안 되세요.
피해자,예.
사기범,왜냐면 저희가 지금 십오분안에 납부해 주시고
피해자,예.
사기범,예 저희 쪽으로 다시 한번 연락주시겠습니까?
피해자,예 알겠습니다.
사기범,"네, 그리고 고객님 납부하실 방법은 어떻게 되시나요?"
피해자,그 그 인터넷 거래로 하는데요.
사기범,"아 인뱅이시구요, 인터넷 뱅킹이시고요."
피해자,네.
사기범,"네, 납부하실 은행은 기업 은행이시죠?"
피해자,"예, 맞습니다."
사기범,네 기업 은행 이시고 지금 십오 분 열람 됐으니까 납부해 주시고 연락 주시고 한 번에 이걸 이천 칠백만원 납부해 주셔야 됩니다.
피해자,예 알겠습니다.
사기범,네 감사합니다. 네.
