Role,Dialogue
고객,신한카드 분실 신고 어디로 하죠?
상담사,공공공공에 0000 공공카드 고객센터 전화하셔서 이 번 팔 번 일 번 누르시면 분실 신고 가능합니다.
고객,운영 시간 있나요?
상담사,별도 운영 시간 없으며 24시간 언제든지 신청 가능합니다.
고객,해외에서 분실했을 때도 번호 동일한가요?
상담사,해외 분실의 경우.
고객,"공 공 다시 공, 다시 0000 다시 000 번입니다 한국어로 접수 가능하죠?"
상담사,"네, 한국 상담원 연결되실 겁니다."
고객,"네, 감사합니다."
상담사,그럼 해외에서 재발급 받을 수 있나요?
고객,해외 체류를 장기로 하시나요?
상담사,"네, 장기 체류 중이에요."
고객,예외에서 장기 체류를 하시는 분이라면 대체 카드 발급이 가능하며.
상담사,신청 시 영업일 기준 이 일에서 3일 안에 대체 카드를 수령하실 수 있습니다.
고객,대체카드면 해외에서도 사용할 수 있는 카드인 거죠.
상담사,네 비자 또는 마스터카드로 발급되시며 국내에 돌아오시면 반납하셔야 합니다.
고객,그럼 또 재발급해야 하고요.
상담사,"네, 국내에서는 대체카드 이용이 불가하셔서."
고객,지속적인 카드 사용을 원하시면 재발급 받으셔야 합니다.
상담사,대체 카드 사용 기간은 따로 없나요?
고객,1년 간 사용이 가능합니다.
상담사,"네, 알겠습니다."
고객,
