Role,Dialogue
사기범,근데요
피해자,어떻게 하라는 얘기죠?
사기범,예 고객님 이름으로 된 입금 내역이 한　이백만 원가량 있으셔야 돼요.
피해자,아 지금 제가 돈이 없어요.
사기범,아 그거는 고객님이 지인분들 통해서 한번 융통을 해보셔야 되는데
피해자,아니 아니요. 그렇게는 안할건데. 아. 원래는 처음에 그런 얘기 없으셨잖아요.
사기범,아 그러세요?
피해자,네.
사기범,"그러면은 고객님, 이 부분은 정지 풀릴려면은 시간 소요가 조금 되시구요."
피해자,아 삼년. 삼개월 이상 걸린다고 하던데요.
사기범,네 6개월에서 일년 정도 그 사이에 풀릴 거예요.
피해자,"아 그래서 어떻게, 어떻게 해야 되는 거예요?"
사기범,제가 말씀 드렸다시피 해결 방법은 이 방법밖에 없으세요.
피해자,아 그건 아닌 거 같은데요. 제가 생각하기에.
사기범,그러면은 고객님 뭐 이거 고객님 이거 풀 풀으실려면은 기대 기다렸다가 벌금 무시고 하셔야 되는데
피해자,아니 처음부터 그렇게 말씀 안하셨잖아요.
사기범,제가 고객님 처음부터 담당자였나요?
피해자,아니 저 그 처음 그 담당자하고 통화할 수 있나요 제가?
사기범,지금은 힘들고요. 지금은 이제 서류가 저희 쪽으로 넘어 와서 지금 저희 팀으로 넘어 왔는데 팀장인 저한테 바로 넘어왔어요.
피해자,네
사기범,새로운 담당자는 저고요 고객님.
피해자,아 그럼 그쪽에서 뭐야 이제 신고를 먼저 한거라 했죠?
사기범,그러쵸
피해자,하 제가 당한 거 같은데요 지금?
사기범,네?
피해자,당한거같아요.
사기범,당하시다니요? 고객님 지금 왜 이 백만원 줄 아세요？
피해자,왜요?
사기범,"원래 지금 고객님 계좌에 삼백오십만원 가량 있으세요, 아시죠."
피해자,아 예 있어요
사기범,예 있으시죠?
피해자,네
사기범,지금 고객님 그거를 원래 저희 쪽으로 다 돌려주셔야 돼요
피해자,네
사기범,네 근데 지금 고객님 계좌 정지시죠.
피해자,예
사기범,거래 정지시죠?
피해자,예
사기범,네 그래서 고객님 자금으로 따로 돌려주셔야 되는데
피해자,예
사기범,그리고 그러면은 고객님이 바로 대출 이거 저희 쪽에서 정지 풀고 이제 삼백오십만원 그거는 고객님 가져가시면 되시고 고객님 먼저 저희 쪽으로 주셨어야 돼요 원래 근데
피해자,아니 그런 말씀을 아무도 안하셨잖아요.
사기범,그거를 고객님
피해자,예
사기범,지금 저희 쪽에 넘어 오면서
피해자,예
사기범,지금 전화 통화를 한 건데
피해자,예
사기범,어떻게 말씀을 드릴까요.
피해자,아니 그러면 신고를 풀어 주시면 제가 다시 송급을 해드리면
사기범,그렇겐 안 됩니다 고객님.
피해자,왜 안되요?
사기범,왜 안되긴요. 전산 처리가 저희 쪽에서 애초에 그렇게 했고 고객님 지금 저희 쪽 자금으로만 거래 내역 쌓다 보니까
피해자,예
사기범,고객님 작업 대출 의심을 받기 때문에 어쩔 수가 없어요. 그거는 저희 쪽에서 풀어 드릴 수 없어요. 기다리시면서 벌금을 내시던가 아니면은 이거를 해결을 해 주시던가 둘 중 하나 선택하셔야 돼요. 해결 방법을 이거 두개밖에 없으세요.
피해자,만약에 지금 제가 취소하게 된다면은 과정이 어떻게 되는 건가요?
사기범,말씀 드렸잖아요. 말씀 드렸다시피 기다리시고 이제 벌금 무시면 되시구요.
피해자,무슨 벌금 말씀이신가요?
사기범,작업 대출 벌금이죠. 이제 고객님 자금 대출 자체도 불법이기 때문에
피해자,이게 합법적이라고 하시고 저한테 전화하신 건데요.
사기범,합법적이죠. 저희 쪽 상품 자체는. 근데 그 와중에 한번이라도 고객님 거래 내역이 쌓으셨어야 되는데 안 하셨잖아요.
피해자,아 그런 말씀이 얘기가 없었으니까 제가 안했겠죠.
사기범,음 근데 그게 아니시잖아요. 지금 지금 저희쪽에 서류 넘어 온거는요 고객님.
피해자,네.
사기범,담당자가 고객님의 거래 내역이 우량하신 줄 알고 어느 정도 있으신 줄 알고요
피해자,그런 게 어디 있습니까.
사기범,그런 게 어디 있다니요. 저희가 뭐 고객님 정보를 알고 있는 것도 없는데
피해자,그럼 애초에 저한테 물어봤어야죠.
사기범,고객님 그러면 제가 한 가지 말씀 드릴게요. 애초에 저희 쪽에서 고객님 태어날 때부터 뭐 정보를 다 알고 있나요? 아니자나요?
피해자,아 그건 아닌데.
사기범,아니잖아요. 그니까 저희가 뭐 고객님의 거래 내역을 다 알고 있는 것도 아니고 고객님 진행을 도와드리는데 뭐 정보를 다 알고 있어 가지고 고객님 거래 내역도 그 전에 한 것도 다 알고 있을까요? 그건 아니잖아요.
피해자,아니 절차가 이렇게 이렇게 된다고 얘기를 해주셨을 때는 제가 거기에 대해서 대응을 했겠죠.
사기범,그니까 고객님이 거래 내역이 어느 정도 보통 평균적으로 저희 나라 대한민국 대출 진행하시는 분들 중에서 평균적으로 저희 쪽에서 고객님 어느 정도 거래 내역이 있으셔서 그런 말씀을 안 드리는 거세요. 근데 고객님처럼 너무 미달되시는 분들은 고객님이 이런 걸 한번 쌓아 주셨어야 돼요. 근데 그게 아니시잖아요. 고객님이 그렇게 미달되시는 거는 뭐 담당자가 다 확인을 할까요? 다 확인 불가능하세요. 본인이 아니기 때문에. 맞잖아요. 제 말이 틀린 부분이 있나요?
피해자,하.. 알겠습니다. 그러면은.
사기범,어떻게 하시겠어요?
피해자,예 없었던 걸로 하죠 뭐.
사기범,그러면은 고객님 벌금이 대략 오백만 원가량 나오시고요.
피해자,네
사기범,네 6개월에서 일년 정도 있다가 풀리실 거니까 그렇게 아시고요.
피해자,알겠습니다. 저도 여기 통화내역 녹음 한 게 다 있으니까
사기범,네
피해자,그걸 토대로 해서 제가 한번 알아보려고요.
사기범,아 그럼 그렇게 하세요.
피해자,알겠습니다.
사기범,지금 뭐 저희 보고 뭐 법적으로 한번 해보자는 거죠.
피해자,아 법적으로 할게 아니라 일단 신고는 해야 되겠죠.
사기범,그니까 고객님 말대로 하자면 뭐 법적으로 하시는 건데 저희도 이제 준비를 하겠습니다. 저희 쪽 법무팀 해 가지고.
피해자,일단은 그 체크 카드나 보내 주시죠.
사기범,그거는 저희가 폐기 처분해 드릴 테니까 알아서 재발급 받으세요.
피해자,아 원래 그런 그럴려고 저한테 그랬었나요 처음부터?
사기범,"제가 고객님한테 처음부터 언제 그랬어요. 제가 언제 처음부터 고객님이랑 전화했냐고요,"
피해자,아니 그 직원이랑 통화좀 하게끔 해줘요 저랑.
사기범,그냥 지금 퇴근 시간이에요. 알고 계세요?
