Role,Dialogue
고객,우편으로 온 카드 사용 내역서를 바꾸고 싶은데요.
상담사,성함과 생년월일 말해주시겠어요?
고객,김길동의 공공공공공이요 개인정보 동의를 위해 문자를 보신 후 동의하시면 번호를 불러주세요.
상담사,공공공공이요 확인 결과 고객님은 한 건의 카드를 사용 중이십니다.
고객,우편으로 되어 있군요?
상담사,"네, 지금 카드 내역은 우편으로 신청해 놓으신 상태입니다."
고객,분실하셨으면 다시 발급해 드릴까요?
상담사,아니요.
고객,다른 방법으로 사용 내역서를 받을 수 있습니까?
상담사,"우편 외에도 이메일과 문자, 카카오톡으로 가능하십니다."
고객,좋네요.
상담사,어떤 방법으로 하시겠어요?
고객,카카오톡으로 할래요?
상담사,그럼 당월 내역을 카카오톡으로 다시 발송해 드리겠습니다.
고객,계속 카 카톡으로 해 주실래요?
상담사,"네, 그럼 정보 변경을 해 드리겠습니다."
고객,정보 변경을 위한 주민등록번호 입력이 1번 더 이루어져야 합니다.
상담사,말해주시겠어요?
고객,공공공공공공 다시 공공공공공공 입력했어요.
상담사,감사합니다.
고객,고객님의 카드 사용 내역은 카카오톡 발송으로 변경해 드렸습니다.
상담사,
