Role,Dialogue
사기범,고객님께서 진행한다고 보증 계약서 발급해달라고 해서
피해자,네.
사기범,되는 건 아니구요.
피해자,네.
사기범,일단은 뭐 대출금 고객님께서 얼마 받을 수 있는지는 모르겠는데 제가 지금 대출금의 이십프로라는 금액을 현재 고객님께서 상황이 되신다고 지금 예치를 하셔야 확인되셔야 저희도 계약서를 발급 해드리거든요
피해자,이십프로요?
사기범,예에.
피해자,그러면 이천만원 필요한데 20%면 사백만원이잖아요.
사기범,일단 그거는
피해자,예.
사기범,어 이천 받아가십니까?
피해자,그래 지금 지금 카드까지 연체가 돼 갖고 그 대금을 매꿀려고 하는데
사기범,또 연체되신 거예요?
피해자,그게 한 한 칠백만원 갚아야 될까요?
사기범,칠백이요? 잠시만요.
피해자,네.
사기범,여보세요.
피해자,네.
사기범,아 연체 그러시면은 받아 가시는 대출금이십프로 납부하실 필요 없으시고요.
피해자,네.
사기범,그 연체 금액의 이 십프로를 얘기를 하시면 됩니다. 그러시면은
피해자,예.
사기범,예 연체금 칠백이면은 백사십만원가량 되시는거잖아요
피해자,예.
사기범,그 금액은 해당 업체에서 대출 받아 가실 때 어차피 다른 쪽으로 반납이 되시는 거예요. 저희 쪽에서 그 계약
피해자,네.
사기범,보증 계약서만 발급되시면은 이렇게 진행하는 방식으로 진행을 하는 거구요.
피해자,에.
사기범,고객님께서 괜찮으시다 싶으시면은 이렇게 진행을 하셔서 실질적으로 연락을 해서 진행을 하시면 되구요.
피해자,아 근데 그 발급
사기범,저희 쪽에서는 지금 확인해 봤는데 예 그렇게 하시면 다 발급이 가능합니다
피해자,예.
사기범,그렇게 하시면 다 발급이 가능합니다
피해자,아 근데 제가 그쪽에 서류나 그런걸 넘긴적이 없는데 어떻게 서류가 넘어가 있다고 하는거죠?
사기범,그거는 농협캐피탈 쪽하고 확인을 하셔야죠. 저희쪽에서 확인..
피해자,그거는 중계업체에서 이쪽에 데이터가 들어가서 그런가 중계업체에서 연락이 온것도 한번도 없는데
사기범,"아, 그래요? 솔직히 이게 중개 업체는 게 고객님께서 뭐 인터넷으로 신청하시든 전화상으로 신청하시든"
피해자,예.
사기범,이렇게 정보수집을 해가지고 가끔씩 이렇게 바로 접수시키는 경우가 많더라고요. 어 그래가지고 어떤 분들은 뭐 하루에 전화 수십통 오고 그렇더라고요.
피해자,아 그니까 뭐 제가 직장도 없고 안되는 걸로 전부 해놓고 지금 지금 지금 중간에 지금 중계업체도 없이 농협캐피탈로 서류가 넘어가있으니까 빨리 진행하세요 이런 식으로 말슴을 하시더라고
사기범,일단은 저희 쪽에 계약서 발급 가능하니까
피해자,네.
사기범,캐피탈쪽에 전화를 해서 진행을 하시면 되겠습니다
피해자,아 예. 일단 예 그러면 선생님 성함은 어떻게 되죠?
사기범,"예, 이태호입니다."
피해자,이자 태자 호자. 예 일단 제가 한번 해보고 전화드릴게요.
사기범,예.
피해자,네.
