Role,Dialogue
고객,청년 우대형 주택청약종합저축은 무엇인가요?
상담사,청년들의 목돈 마련과 내 집 마련을 청년 우대형 주택청약 종합 저축으로 시작하세요.
고객,상품 특징은요?
상담사,일반 주택 기본 금리의 1.
고객,5 퍼센트의 우대금리를 제공합니다.
상담사,과세 되나요?
고객,이자 소득 500만 원까지.
상담사,연간 불이백 육백만원 한도로 비과세 혜택 적용합니다.
고객,무주택 무주택 혜택이 있나요?
상담사,최대 구십육만원 소득공제도 됩니다.
고객,가입 대상은요 만 십구세에서 10003 14세 이하입니다.
상담사,주택이 있어도 되나요?
고객,본인이 무주택 세대주입니다.
상담사,또 다른 조건은요?
고객,"가입 후 3년 내에 세대주 예정자이고, 무주택 세대의 세대원입니다."
상담사,준비서류 있습니까?
고객,"실면 확인 인증표와 주민등록 발급, 삼 개월대 소득 증빙서류입니다."
상담사,기본서류는 무엇인가요?
고객,직전년도 소득 확인 증명서입니다.
상담사,소득이 없으면요 급여 명세표도 됩니다.
고객,
