Role,Dialogue
고객,법인 통장 거래 내역 확인하려는데 어떻게 해야 합니까?
상담사,기간을 말해주실래요?
고객,이천십칠년이요 일년이 넘어가면 영업점에 방문하셔야 합니다.
상담사,거래 인감이 없어도 법인 통장 거래 내역을 발급받을 수 있나요?
고객,법인 통장 거래 내역은 거래 인감이 없 없으면 발급이 어렵습니다.
상담사,거래 인감 등록 시 서류 알려주시겠어요?
고객,대리인이 오시는 겁니까?
상담사,네 대리인이 갑니다.
고객,대리인과 법인 인감 준비하시고요.
상담사,새로운 거래 인감을 가지고 오시면 됩니다.
고객,대리인 인감 필요하겠군요.
상담사,"네, 법인 법인 통장 거래 인감을 바꿔야 되는 작업이라서요."
고객,거래인 인감도 필요합니다.
상담사,작년에 인감 발급받아 놓은 게 있는데.
고객,이거 들고 가도 되나요?
상담사,안됩니다.
고객,공문서 유효기간은 발급일로부터 삼개월입니다.
상담사,영업점마다 요구하는 서류가 추가되실 수도 있으니 방문 전 해당 영업점에 문의하시기 바랍니다.
고객,우리 회사 주거래 지점이 공공점이거든요.
상담사,공공점으로 알려주세요.
고객,공공점 전화번호는 공 공 다시 000 다시 0000입니다.
상담사,감사합니다.
고객,그리고 제가 지금 신분증이 여권밖에 없거든요.
상담사,여권도 가능한가요?
고객,여권은 가능합니다.
상담사,"네, 알겠습니다."
고객,
