Role,Dialogue
고객,"대출받고 싶은데요, 어느정도 받을 수 있나요?"
상담사,대출에는 신용대출과 담보대출이 있어요.
고객,담보대출로 알아봐 주세요.
상담사,담보대출은 아파트 공시가의 80%까지 대출이 가능하세요?
고객,빌라도 아파트처럼 80%까지 대출이 가능한 건가요?
상담사,"네, 그렇습니다."
고객,공시 시가란 무엇인가요?
상담사,금융권에서 책정하는 건물의 가격을 뜻합니다.
고객,그럼 공시가가 실제 거래가와는 다를 수도 있나요?
상담사,"네, 공시 시가와 실거래가는 다른 것입니다."
고객,공시 시가 확인은 어떻게 하는 거죠?
상담사,공시 시가는 한국주택금융공사 홈페이지를 통해 확인이 가능하세요?
고객,담보 대출을 받을 때 필요한 서류가 뭔가요?
상담사,"신분증 등본 인감증명서, 주택매매계약서 등기부등본이 필요합니다."
고객,신용대출받고 싶은데요.
상담사,대출받을 때 성인이면 대출받을 수도 있나요?
고객,"네, 20세 이상이면 가능하십니다."
상담사,무직자여도 가능한 대출이 있나요?
고객,신용카드 사용실적이나 보유하고 있는 차량 집으로 소득을 산정하여 대출을 이용할 수 있습니다.
상담사,감사합니다.
고객,
