Role,Dialogue
고객,새희망 홀씨 대출이란 게 뭔가요?
상담사,저소득 가구 저신용 대상자분에게 대출 지원하여 드리는 상품입니다.
고객,저소득이라면 얼마가 기준인가요?
상담사,연 소득 기준을 점검하고 그에 따른 신용도 확인을 하게 됩니다.
고객,신용등급 확인은 시간이 걸리나요?
상담사,"네, 서류와 함께 심사 제출 후 검토가 되어야 합니다."
고객,나오게 되면 대출은 얼마나 받을 수 있을까요?
상담사,대출한도는 신용상태 등에 따라 다르지만 최대 3천만 원입니다.
고객,많지는 않군요?
상담사,더 받을 수 있는 방법은 없을까요?
고객,"네, 작년까지 2천만 원이었다가 코로나 상황으로 3천만 원까지 한도가 늘어난 상태입니다."
상담사,이 대출은 다른 것에 대비 이자는 좋은가요?
고객,"네, 다른 대출 대비 이자율은 가장 낮은 편에 속합니다."
상담사,준비해야 되는 서류가 뭐가 있나요?
고객,올해 월급 명세서를 준비하여 오시면 됩니다.
상담사,"네, 잘 알겠습니다."
고객,혹시 더 궁금하신 사항이 있나요?
상담사,신청 시에 주의해야 할 점이 있나요?
고객,증빙서류는 발급일로부터 61 이내의 것만 유효합니다.
상담사,"네, 감사합니다."
고객,"네, 좋은 하루 되십시오."
상담사,
