Role,Dialogue
사기범,되실 거 같구요 대출금 수령 받으실 계좌는 어느 은행 계좌로 넣어 드릴까요?
피해자,기업 은행.
사기범,기업 은행 이시고요.
피해자,OOOOOO
사기범,네 아 음 예 알겠습니다. 예 평생 계좌하신 거고?
피해자,네
사기범,음 예 알겠습니다. 잠시만요.
피해자,예
사기범,우선 그러시면은 그 이제 고객님하고 저희 쪽에 농협 캐피탈에서 대출 진행이 정상적으로 완료되었다는 걸로 녹취 하실 텐데요. 통화 괜찮으신가?
피해자,네 네
사기범,그리고 또한 그 대출금 받으심과 동시에 저희가 이제 등기 우편을 보내드릴 건데요.
피해자,네
사기범,"고객님 자택이 편하세요, 아니면 어디가 편하신가요?"
피해자,아 자택이요... 아니 직장.
사기범,직장 주소지 좀 부탁드리겠습니다.
피해자,인천시 OOOOOO. 이게 몇 일 걸리겠죠?
사기범,아니요 고객님 이거 내일이면 바로 발송이 되세요.
피해자,아 그러면은 오늘 제가 층을 옮기게 돼서 3층으로 해주세요.
사기범,아 삼층이요?
피해자,OOOO 삼층 사무실.
사기범,3층 사무실.. 아 예 알겠습니다. 그러시면 혹시 모르기 때문에 자택 주소지도 한 번 부탁드릴게요.
피해자,OOOO
사기범,OOOO이고요.
피해자,예
사기범,알겠습니다. 그러시면 지금 녹취 진행할 거구요.
피해자,네
사기범,"지금요, 통화는 가능하신 건가요?"
피해자,네
사기범,음 예 알겠습니다. 그럼 녹취 시작하겠습니다.
피해자,네
사기범,고객님 성함과 주민 번호 열세 자리 확인 부탁 드리겠습니다.
피해자,OOOOOO
사기범,예 확인 감사 드리고요. 상황 상식과 매달 상환하실 상환 금액에 대해서 설명해 드리겠습니다. 예 상환 방식은 원리금 균등 분할 상환 방식으로 적용되시구요. 금리는 연 십이 점 칠 프로로 이용하시는 겁니다. 예 그리고 상환 기간은 60 개월이시구요. 매달 납부하시게 되는 상환 금액은 사십오만 천구백구십육 원이시며 매달 결제 일은 이십오 일이시고요. 결제 일 이틀 전에 상환 안내 문자 발송되실 겁니다.
피해자,네
사기범,혹시라도 고객님께서 이제 상환 중 연체하시게 되면은 납기일 이후에 매일 상환 금액 영점 삼 프로 가산세가 부과될 수가 있기 때문에요. 정확히 상환 날짜를 넘기지 않도록 미리 상환 안내 문자를 발송해 드리는 거구요.
피해자,예
사기범,예 이 점 유의해서 연체 없이 저희 상환해 주시면 됩니다.
피해자,예
사기범,납입 중 중도 상환은 6개월 이후부터 가능하신 거구요. 중도 상환하실 경우 에는 별도의 수수료는 과세하지 않습니다.
피해자,네
사기범,이해되셨나요?
피해자,예
사기범,그러시면 대출금 받아 보실 계좌 번호 제가 다시 한번 확인하겠습니다. 예 기업 은행이시구요.
피해자,예
사기범,"OOOOOO, 아 평생 계좌 맞으시고요."
피해자,예
사기범,음 예 대출금 받으신 후에는 저희 쪽에서 등기 우편을 보내드릴 건데요. 등기 우편 제 대출 약정서 가시는 거거든요. 그 대출 약정서 이제 꼼꼼히 읽어 보시고 이제 자필 서명해주셔야 되는데 자필 서명 누락되거나 위조가 되시면 자동 계약 해지되면 알려드립니다. 예 방문 시간이랑 장소는 고객님께서 예 음 예 우선적으로 이제 자택 자택 아니면 저희 회사 그쪽에서 발생이 되실 거구요.
피해자,예
사기범,지금까지 녹취 내용에 모두 동의를하시나요?
피해자,예
사기범,이천 십 칠년 십이월 이십칠일 고객님께서 동의하셨기 때문에 법적 효력이 발생되고요. 혹시라도 위 내용으로 인해서 고객님께서 피해를 본다거나 또한 유출 문제가 생기시면은 금감원 측에 손해 배상 청구 소송 할 수 있음을 알려드리고요.
피해자,예
사기범,예 그럼 녹취 마치겠습니다
피해자,네
