Role,Dialogue
사기범,여보세요
피해자,여보세요
사기범,네
피해자,아 예
사기범,반갑습니다. 자 음... 자 세 번에 나눠서 차량 가격을 저희가 입금을 해드립니다
피해자,예
사기범,처음에는 이 2000만원 전 후에서 계약금을 입금을 해드릴 겁니다.
피해자,예.
사기범,계약금 입금해드리면은 어차피 (삐-)님 명의로 해서 차량을 구매하는 거니까.
피해자,예
사기범,(삐-)님 아 출금을 하셔서
피해자,예
사기범,저희 영업 사원한테 전달해 주시면 돼요.
피해자,예
사기범,예 그러면 영업 사원은 그 부산에 가장... 그 저희가 또 거래하는 코드 직영점이 있어요.
피해자,예
사기범,그 지점으로 가서 계약 계약금을 일단 전달해 주고 다시.
피해자,예.
사기범,(삐-)님한테 오는 시간에 중도금이 또 입금이 됩니다.
피해자,네.
사기범,한시간 전 후 해서요.
피해자,예 다시 이제 농협가서 중도금 찾고
사기범,저희 영업사원한테 전달해주고
피해자,예
사기범,자 그럼 마지막에 잔금 6000만 원 마무리 잔금이 들어가지 않습니까?
피해자,예
사기범,예 요때는 같이 (삐-)님하고 저희 영업 사원하고 잔금들어갈 때는 같이 기아 대리점을 가주셔야 돼요.
피해자,아 예
사기범,네 그래서 거기서 차량 구매 그 계약서 (삐-)님이 상세히 읽어보시고.
피해자,예
사기범,사인하시고 거기서 600만 원을 저희 영업 사원한테 그 대리점에서는 그 그 수령을 못 하세요 대리점 안에서는 .
피해자,예.
사기범,대리점 직원들이 아 이거 명의 빌려가지고 이제 그런 생각을 하니까 저희가 그 계약 사인하기 전에 그 영업 사원이 잠깐 저 여 (삐-) 잠깐 불러가지고.
피해자,예.
사기범,수수료 600만원 드리고 사인을 할 겁니다. 그러면 차량 구매가 그 날로 끝나는 겁니다.
피해자,아 예.
사기범,고 시간이 11시부터 늦으면 4시 빠르면 3시에 끝나는 거에요. 그러니까 고 고 시간대에는 시간을 비워달라는 얘기에요.
피해자,아 예 예 예.
사기범,예 그러면 어 간혹가다 어떤 고객님들은 아 이거 나한테 불이익이 오는 거 아니냐. 근데 불이익이 올게 없는 게 (삐-) 이름으로 명의로. 할부라든가 리스를 뽑으면 이게 나중에 문제 소지가 되는 겁니다.
피해자,예.
사기범,예 근데 전액 현금을 주고 구매를 했고 그 날 구매한 날 계약서 쓰는. 계약서 싸인하기 전에 (삐-) 님은 차량 가격의 10% 수수료 입금을 수령하셨지 않습니까.
피해자,예.
사기범,이게 이게 다 마무리된 거예요.
피해자,아
사기범,저희가 보통 요즘 뭐 차량을 현금가로 하면은 현금가로 구매를 하면요.
피해자,예.
사기범,어 한 10일에서 늦으면 12일 사이에 차가 출고가 되요.
피해자,10일에서 12일 사이 예
사기범,예 출고되는 날 우리 영업직원이 같이 내려갑니다. 다시 부산으로.
피해자,예.
사기범,(삐-) 하고 고 때는 한 한시간 반 정도 명의 이전을 해주셔야 될 거 아닙니까?
피해자,예.
사기범,예 여기서 (삐-) 명의가 (삐-) 앞으로 차가 되있지만 실질적으로 저희...
피해자,회사차니까. 여보세요? 여보세요?
사기범,여보세요?
피해자,예
사기범,그걸로 마무리가 되는 거구요.
피해자,예.
사기범,그래서 음 그 월요일부터 금요일 사이 평일날 (삐-) 11시부터 3시나 4시까지 시간비울 수 있는 날.
피해자,예.
사기범,일정 잡으시면 저희랑 일정 맞춰가지고 저희 영업 직원이 부산으로 방문하는 겁니다.
피해자,아 그럼 뭐 진행하려고 하면은 한... 이번 주 금요일... 언제부터 가능한건가요?
사기범,저기 그 이번에 5일 날은 뭐 식목일이잖아요.
피해자,예.
사기범,예 그럼 공휴일이니까 그날 안 되고...
피해자,예
사기범,관계 없습니다.
피해자,아 그러면은 다음주... 그러면 다음주 월요일 4월 9일날 가능한지...
사기범,아 그럼 저희가 그 차량 구매하는... 저희가 보통 하루에 한 여섯 대에서 일곱 대 구매하는데
피해자,예
사기범,전액 현찰이다 보니까
피해자,예
사기범,뭐 한 4억씩 고걸 저희 일정을 맞춰가지고 어 카톡으로 연락드리고요. 저희가.
피해자,예.
사기범,(삐-) 전화 번호로 해서 제 개인 카톡으로 해서
피해자,아 제가 카톡을 따로 안 써가지고.
사기범,어... 그럼 뭐 메신저를 쓰셔야 되는데.
피해자,아... 잠시만 카톡을 지금... 잠 잠시만요. 그럼 카톡을 지금 깔고 있을게요.
사기범,예 그러면은 그 전화 번호 카톡 저기하세요. 왜냐하면요. 그 출금을 하시면은 제가 1차 출금을 계약금을 출금을 해서 저희 영업사원을 건내줄 거 아닙니까?
피해자,예.
사기범,그러면은 그 통장에 입출금 내역을 .
피해자,예 .
사기범,그 카톡 캡쳐해서 보내주시면은 요거 저희가 이제 대표님한테 계약금 처리 완료되었습니다. 그러면 그 대표님이 이제 중도금을 보내드리고 잔금을 보내드릴 때 그 (삐-) 수수료 600만 원까지 같이 보내기 때문에 카톡 메신저가 있야 됩니다
피해자,아 예.
사기범,네 네.
피해자,그러면은 카톡 깔고.
사기범,예.
사기범,어 뭐 제가 한 한 15분이나 20분 있다가 전화 드릴게요.
피해자,예.
사기범,일단은 (삐-) 님은 4월 9일쯤 가능하신단 얘기죠.
피해자,예.
사기범,아 일단 9일로 일단 가상 예약 잡아 놓구요.
피해자,예.
사기범,예 그리고 제가 다시 한번 통화하시죠..
피해자,예.
사기범,예.
