Role,Dialogue
피해자,제가 말씀을 해 드린게 뭐냐면 부과세 미납으로 인해서 대출이 안된다. 근데 그쪽에서는 대환 상환이기 때문에 상관이 없다. 그쪽에서 말씀을 해주신거거든요
사기범,"예. 지금 상황에서 저희가 보면, 저희는 지금 신용 대출로 나가는 게 아니고"
피해자,예
사기범,신용 대출은 100% 안되십니다
피해자,예
사기범,"뭐 10번 접수를 하면 10번, 10번 다 이제 그 부결이 되시거든요"
피해자,네
사기범,그래서 저희도 지금 보니까 그 대환 대출로 진행하면
피해자,네
사기범,뭐 고객님 앞으로 이제 부가세 1600이잖아요
피해자,네
사기범,그렇죠. 1600 다 갚고 대출 받을 이유는 없잖아요 솔직히
피해자,예
사기범,예. 그런데 지금 전산에 지금 최종적으로 나온 거는 저희가 입금하는 도중에 나온 거라 최종이잖아요
피해자,네
사기범,지금 고객님께서 지금 (삐-) 꺼만 정리를 하면 저희 쪽에서 6500까지는 확실하게 나갈 수가 있어요.
피해자,"아니요. 저희 더 이상 해 줄수가, 할 수가 없다고 말씀드렸었거든요. 네 네."
사기범,그러면 여기서 지금 스톱을 해야 돼요. 더 이상 그렇게 안 된다고 하면.
피해자,네
사기범,"대출 자금 좀 나가기 어렵거든요. 왜냐면 지금 부과세가 1600 정도 되시니까, 솔직히 저희 쪽에서는 지금 최종적으로 (삐-) 먼저 정리해 주시면 대출 자금 나올 수가 있는데, 이게 안 되면 대출자금이 더 이상 진행이 어려워요"
피해자,"아니 그 상환, 상환 한다는게 원래 그 대환이잖아요. 원래 그쪽 그 상환을 하기 위해서 이 제가 이런 제의를 받은거고"
사기범,예 맞습니다
피해자,그러면 이게 원래는 이쪽에서 먼저 상환을 해주신 다음에 저한테 계약서를 쓰던지 이렇게 하는거였잖아요
사기범,음 고객님 얘기 이해는 가는데요
피해자,네
사기범,"지금 만약에 고객님께서 부채 한도가 초과가 안 됐으면 뭐 예들 들어서 처음부터 부채 초과가 안 됐습니다. 그러면 (삐-)도 그 상환할 필요없이 대출 자금을 받아 가실 거예요. 그런데 지금 전산에 이미 부채가 초과로 나온다는 얘기는 이미 고객님 부채가 그만큼 많이 있다는 얘기에요. 그래서 초과된 것만 정리를 하고 대출자금을 받아 가셔야 되는데 지금 전산에 계속 초과라 나오니까, 요거를 정리를 하고 대출자금을 받아 가시는 거예요"
