Role,Dialogue
고객,ATM 기기에서 현금 입금 되나요?
상담사,"네, 입금할 수 있습니다."
고객,현금 입금은 얼마까지 되나요?
상담사,일 회 150 회 일일은 제한 없습니다.
고객,수표 입금도 가능하나요?
상담사,"네, 가능합니다."
고객,수표 입금 시 출금은 언제 가능하나요?
상담사,당행 수표는 현금과 동일하나?
고객,타행 수표는 2일 정도 후에 출금이 가능합니다.
상담사,무통장 무 카드일 때 일 회 현금 입금은 얼마까지 가능할까요?
고객,일 회 100만 원까지 입금 가능합니다.
상담사,무통장 무 카드일 때 1일 현금 입금 금액은 한도가 있나요?
고객,제한 없구요 동일 입금이니 동일 수취인에게 입금 시 1일 100만 원까지입니다.
상담사,기기 이용 가능 시간은 어떻게 되나요?
고객,"네, 이용 가능 시간은 은행은 여덟시에서 열시까지이며, 편의점 등에서는 24시간 이용 가능합니다."
상담사,계좌이체를 할 때 어떤 정보를 알아야 하나요?
고객,카드를 넣으신 뒤 계좌이체를 통해서 상대방 계좌번호를 입력하여 이용하시면 됩니다.
상담사,편의점이나 집 주변에 있는 ATM 기기에서도 무통장 입금이 되나요?
고객,"네, 무통장 입금 가능합니다."
상담사,천원 오천원권도 입금될까요?
고객,은행 ATM 기기에서는 천원 오천원권은 입금이 안됩니다.
상담사,
