Role,Dialogue
피해자,여보세요?
사기범,네네. 아까전에 통화 도움드렸었던 담당자 이이슬이에요.
피해자,네네.
사기범,네네네. 저희 고객님 그 지난주에 도움 드렸던 안전보안모듈 지금 제대로 되는 게 앙 제대로 안되셨기 때문에 다시 한번 안내 도움 드릴 건데요.
피해자,네.
사기범,고객님 잠깐 뭐 한오분 뭐 빠르면은 삼분 정도 안내 드릴건데 잠깐 통화 괜찮으시겠어요?
피해자,보안모듈요?
사기범,네.
피해자,근데 그거 저번에 안랩 V3 앱 삭제하라고 했던 그건가요?
사기범,"아, 네네네. 고객님께서 어떤 거 땜에 그러시죠?"
피해자,그거 그냥 물어본거에요.
사기범,"예. 알겠습니다, 고객님. 잠깐, 고객님. 카카오톡 확인 가능하시겠습니까?"
피해자,아니 근데 이게 급한건가봐요?
사기범,"아니요, 급한거는 아닌데 고객님께서 접수를 해드리기 위해서는 이게 지금 고객님께서 필요하시기 때문에 한번 더 안내를 드린 부분인데요."
피해자,궁금해서 여쭤보는건데 하는건 하는데 궁금한게 이게 왜 급한건지 좀 궁금해서요.
사기범,아 그 저희가 고객님 그 접수 신청을 해드린다고 했잖아요
피해자,네.
사기범,네네. 근데 저희 고객님께서 계약서 관련이라든지 공문서 요청할 때 이 부분이 저희 고객님께서 완료가 되어 있으셔야지만 고객님 정상적으로 이천 삼백만원 건에 대해서 진행하시고 별다른 문제없이 진행 가능하시기 때문에 이 부분은 고객님께서 지난주에 안내를 드렸던 건데
피해자,네.
사기범,고객님께서 지금 이부분 잘 안들으신거 같아서 다시한번 고객님께 안내도움 드릴려고 전화드린거에요.
피해자,그러니깐 제가 궁금해서 여쭤보는데 그런 계약서를 받으려면 그걸 깔아야된다고요?
사기범,"네, 맞습니다."
피해자,"공문서를 그냥 전화로 받아야되나요, 꼭? 핸드폰으로 받아야되나요? 팩스나 뭐 그런걸로 받으면 안될까요?"
사기범,갑자기 저희 고객님 어떤 부분 때문에 지금 뭐 그런 거죠?
피해자,"아니 그냥그냥 팩스가 더 편해가지고 진짜 제 핸드폰이 맛이 갔어요. 약간 전화도 받으면은 한참기다려야 전화번호를 누를수 있고 지금 암튼 약간 문제가 카톡도 오래있다 열리구요, 폰이 지금 맛이 가서, 팩스가 지금 바로 옆에 있어서 팩스로 받으면 더 좋을거 같아서"
사기범,근데 이게 저희 고객님께서 지난번에 그 이제 핸드폰으로 하시는 전자계약서 진행하신다고 하셔서 이걸 등록을 다 해버렸는데
피해자,네.
사기범,갑자기 지금오셔서 말씀을 바꾸신다고 하면은 저도 위에다가 말씀드리기가 많이 난감한 부분이기 때문에
피해자,"아 그럼 하죠, 뭐. 어떻게 하면 되여?"
사기범,죄송합니다. 고객님. 미리 양해드리구요. 지난주 금요일 날 고객님께서 처음에 말씀하실 때 말씀을 이렇게 좀 어떻게 어떻게 해서 어떻게 어떻게 진행하시겠다. 이거를 먼저 말씀을 해주셨으면 그걸로 전자 예약을 해드렸는데
피해자,아직 그러면 지금이라도 그렇게 해주시면 안되요?
사기범,"아 이미 일단 저희가 요청을 해드린 부분이기 때문에 변경을 하시게 되면 시간소요가 되실텐데, 고객님, 카카오톡에다가 보내드렸거든요?"
피해자,예.
사기범,"네네, 그냥 다운로드 하신 다음에 완료되시면 설치하시고 설치하시면은 여기 또는 실행 버튼 눌러주시면 된다고 말씀 드렸"
피해자,"아, 근데 그게 뭐죠, 다운로드하는게?"
사기범,그 현대캐피탈 보안모듈이라고 해서 전자계약서 관련해서 안내해드린다고 말씀드렸구요.
피해자,"그럼 안내해준다는거구요, 그게 뭐냐고요? 다운받는게?"
사기범,보안모델이라고 생각해주시면 되십니다.
피해자,보안모듈이요?
사기범,네에.
피해자,"어딘가요, 현대캐피탈?"
사기범,네네. 그 지난주에 설치하셨을 때 기억 안 나시나요?
피해자,지난주에 설치하고 바로 없어졌어요.
사기범,네네. 그거는 고객님한테 말씀드렸었잖아요. 그 고객님 진행하시고 나서 고객님께서 작은 수량 끝나시면은 이 부분에 대해서 전자 계약서 관련해서 한번 더 안내해드린다고 말씀 드렸는데
피해자,"아, 네. 알겠습니다. 그떄 담당자분 통화후 설치하고 떙이었는데 어떻게 더 확인할 수가 있어야죠. 여쭤볼 수 있는거죠."
사기범,"죄송합니다, 고객님."
피해자,네.
사기범,"네, 일단은 한번 확인해 보시겠습니까?"
피해자,그거 지금 보내셨다고요? 카톡으로요?
사기범,네네. 카카오톡 한번 확인해 보시겠어요?
피해자,잠시만요. 이게 지금 카톡이 전화가 말씀드렸듯이 이상해 가지고 카톡으로 확인하면 페이지가 잘 안넘어가요. 그래서 좀 오래걸릴거에요 잠시만요.
사기범,"아, 괜찮습니다. 고객님."
피해자,여보세요?
사기범,네네. 여보세요. 아 얘기하시는거 같아서 말을 못했거든요.
피해자,네네. 이거 지금 다운받고서는 설치하면 되는거죠?
사기범,"네, 그 설치 버튼 누르시게 되면 그 다운로드 완료되었습니다. 뜨시잖아요."
피해자,네.
사기범,네 그러시면은 로고 뜨실건데 그 다음에 설치하시고 설치 완료되시면은 열기 또는 실행 버튼있으신데 이거 누르시면 된다고 말씀드렸습니다
피해자,예. 그럼 그렇게 할게요.
사기범,네네.
피해자,"예, 다하고 하면 되는거 아닌가요, 제가?"
사기범,아 고객님께서 그 통화없이 괜찮으시겠어요?
피해자,아니 지금 통화 길게 어려우니까 옆에 따른 직원분 같이 계셔가지고
사기범,아…
피해자,끝까지 깔면되죠? 설치하면 되는거죠 앱?
사기범,"네, 맞습니다."
피해자,"예예, 현대캐피탈."
사기범,아 네. 알겠습니다. 통화 많이 어려우신 거 같으신데 설치 다 완료되시면 카카오톡 한번만 말씀 부탁드리겠습니다.
피해자,아 더 할건 없나요?
사기범,"아, 네네. 그 고객님. 통화끊으시면은 조이크레딧트 쪽에다가 공문서 요청해서 고객님께서 전화하시면은 공문서 확인하고 이렇게 납부 처리할 수 있도록 지금 빠른 마무리 드릴꺼에요 이제."
피해자,네.
사기범,제일 중요한건 고객님이 납부 처리하시고 납부했다는거를 법무 비용 납부 증명서로 발행을 하셔야 되잖아요.
피해자,네.
사기범,그거에 대해서 지금 바로 요청할 겁니다. 고객님.
피해자,아 네네.
사기범,"네, 한 뭐 십분 안으로 요청하고 나서 말씀 드릴거고 설치 완료되면 말씀 부탁 드리겠습니다."
피해자,"네네. 네, 알겠습니다."
사기범,"네, 알겠습니다."
피해자,"네, 감사합니다."
