Role,Dialogue
사기범,여보세요?
피해자,여보세요?
사기범,"네, (삐-) 고객님 맞으신가요?"
피해자,예
사기범,네 네. 전에 고객님 담당자로 배정받은 유진저축은행 설동우 대리고요. 잠깐 통화되시겠어요? 고객님?
피해자,예
사기범,"네 네. 이게 뭐 저희 쪽에 대출 진행하실려면 필요하신 서류가 간단하게 2개 정도 필요하신 데, 신분증 사본이랑 주거래 은행 3개월 입출 거래 내역서. 2가지는 보내셔야 되거든요."
피해자,예
사기범,혹시 뭐 2가지 보내주시는데 얼마나 걸리실 거 같애요? 고객님?
피해자,"아 잠깐 집에 좀 갔다 와야 되니까 2, 30분 정도 걸릴 거 같은데요."
사기범,"2, 30분 정도요?"
피해자,네
사기범,"문자로 그러면 팩스 번호나 그런 거 문자로 바로 안내해 드릴 테니까, 그 보내주시고 연락 한 번만 주시겠어요. 고객님?"
피해자,아 예. 알겠습니다
사기범,"예 알겠습니다. 연락 주신 다음에 이 번호로 연락주신 다음에, 어 설동우 대리 찾으시면 바로 연결해 주시거든요"
피해자,예 알겠습니다
사기범,네 알겠습니다. 바로 연락 주세요
피해자,예
사기범,예
