Role,Dialogue
고객,교통카드 발급 관련해서 문의 드립니다.
상담사,"네, 현재 이용 중이신 저희 카드가 있으신가요?"
고객,"네, 있습니다."
상담사,거기에 교통카드 기능을 추가로 넣을 수 있는 건가요?
고객,교통카드 기능이 있는 카드로 재발급을 받으셔야 합니다.
상담사,"아, 기존의 카드로는 안되는 것이군요?"
고객,"네, 교통카드 이용 가능한 카드라고 하더라도."
상담사,사전에 미신청하셨다면 재발급이 필요합니다.
고객,카드가 혹시 다른 건가요?
상담사,카드 디자인은 같지만 후면에 교통카드라고 기재되어 있습니다.
고객,알겠습니다.
상담사,그럼 이것도 사용할 때마다 사용 내역이 문자로 오나요?
고객,대중교통의 사용의 경우는 문자 서비스는 없습니다.
상담사,교통카드는 매건마다 정산되는 내역이 아니어서 그렇습니다.
고객,그렇군요.
상담사,혹시 교통카드 이용금액도 포인트 적립이 되나요?
고객,죄송합니다.
상담사,교통카드 사용내역은 포인트 적립되지 않습니다.
고객,그렇군요.
상담사,연말 소득공제는 되나요?
고객,"네, 연말 소득공제됩니다."
상담사,알겠습니다.
고객,혹시 교통카드 기능을 넣으면 연회비가 다른가요?
상담사,아니요.
고객,연회비는 동일합니다.
상담사,"네, 고맙습니다."
고객,
