Role,Dialogue
고객,인터넷 환전 시 우대 혜택 있나요?
상담사,"네, 고객님 인터넷 환전 시 30 퍼센트의 환율 우대 서비스가 있습니다."
고객,그것뿐인가요?
상담사,고객님께서 원하시는 시간 지정하신 영업점에서 외화를 수령할 수 있어 시간이 단축됩니다.
고객,신청 당일날 수령 가능하나요?
상담사,"아니요, 고객님 출금 신청일 일 영업일 이후 수령할 수 있습니다."
고객,"즉, 하루 전에 신청하셔야 합니다."
상담사,달러랑 위안화 환전되나요?
고객,달러는 가능하나 위안화는 불가능합니다.
상담사,"인터넷 환전은 달러 유로화, 엔화만 가능합니다."
고객,위안화는 은행 가야 하나요?
상담사,"네, 고객님 위안화는 영업점 방문해 주셔야 환전 가능합니다."
고객,인터넷 신청 후에 하루 지나서 환율이 달라졌을 시 영업점이랑 인터넷에서 취소하고 신청해도 되나요?
상담사,"네, 고객님 재환전을 요청하시는 경우 매매 기준율을 적용하여."
고객,원화로 받으시게 됩니다.
상담사,이에 따른 수익 및 손실은 고객님의 책임입니다.
고객,인터넷 환전시 금액 한도 있어요.
상담사,"개인고객이세요, 법인고객이세요."
고객,개인고객이요.
상담사,개인고객님의 경우 여행목적 미화 일만불 상당액 미화 오만불 상당액을 기준으로.
고객,환전 가능하십니다.
상담사,인터넷 환전은 이십사시 가능하죠?
고객,아닙니다.
상담사,"고객님, 주말 재회 평일 아홉시 삼십분부터 열여섯시 삼십분 외화 수령 지정 영업점 업무 마감 전까지 운영되어집니다."
고객,은행이랑 똑같이 운영되네요.
상담사,그렇습니다.
고객,고객님.
상담사,은행 영업시간과 똑같이 운영됩니다.
고객,
