Role,Dialogue
고객,제가 담당이 새로 바뀌어서요.
상담사,선물한 거래 내역을 알고 싶습니다.
고객,선물한 거래 내역을 알고 싶으시다는 거죠.
상담사,네 선물한 거래 내역이요.
고객,이전 내역은 인터넷으로도 확인 가능합니다.
상담사,혹시 선물한 선물한 프로그램은 설치하셨습니까?
고객,"네, 그건 예전에 설치해 놓은 게 있습니다."
상담사,그럼 선물한 프로그램 아이콘 클릭하시고요.
고객,선물한 정보 입력도 다 해놓으셨습니까?
상담사,네 입력했습니다.
고객,인터넷 저희 뱅킹 홈페이지에 들어가시면 왼쪽 하단에 FX 선물환이라고 있습니다.
상담사,찾으셨습니까?
고객,"네, 찾았습니다."
상담사,거기 맨 처음에 선물한 거래내역 조회라고 있습니다.
고객,봤는데요.
상담사,제가 체결을 했는데 거래내역이 안떠요 왜 그렇죠?
고객,인터넷으로 선물한 등록하셨습니까?
상담사,"네, 인터넷으로 좀 전에 했거든요."
고객,인터넷 선물한 등록 내역을 알고 싶으시면 거래 구분해서 인터넷 선물한 등록 내역으로 확인해 보시면 됩니다.
상담사,그런데 거래 완료된 목록은 어디 있나요?
고객,거래 완료된 목록은 나오지 않고요.
상담사,현재 계약 중인 선물한 조회만 가능합니다.
고객,알겠습니다.
상담사,더 궁금하신 사항은 없으십니까?
고객,해결된 거 같아요.
상담사,
