Role,Dialogue
고객,공 공 은행에 문의 드릴 것이 있어서 연락 드렸어요.
상담사,"안녕하세요, 고객님, 무슨 일을 도와 드릴까요?"
고객,계좌 잔액을 확인하고 싶습니다.
상담사,먼저 업무를 도와드리기 전에 본인확인 먼저 도와드리도록 하겠습니다.
고객,"네, 그렇게 하세요."
상담사,전화하신 분이 본인 맞아요.
고객,전화한 사람이 제가 맞아요.
상담사,확인되었습니다.
고객,계좌번호가 몇번이신가요?
상담사,계좌는 공공공공공공공 다시 공공공공공 다시 공공공이에요.
고객,계좌의 잔액은 이십육만팔천육백칠십팔원이에요.
상담사,안녕하세요?
고객,공공은행에 궁금한 게 있어 연락드렸습니다.
상담사,행복을 전하는 은행입니다.
고객,"고객님, 어떤 것을 도와드리면 될까요?"
상담사,계좌의 잔액을 확인해 주세요.
고객,업무를 도와드리기 위해 본인확인 먼저 하도록 할게요 동의하십니까?
상담사,내일 진행하세요 전화하신 본인이 맞습니까?
고객,"통화한 사람, 제가 맞습니다."
상담사,감사합니다.
고객,계좌번호가 몇 번인지 알고 계십니까?
상담사,계좌가 공공공공공공공 다시 공공공공공 다시 000입니다.
고객,고객님 계좌에 남은 금액은 12 16868 원으로 확인됩니다.
상담사,
