Role,Dialogue
고객,버팀목 전세자금 대출 관련 문의 좀 드립니다.
상담사,"네, 무엇을 도와드릴까요?"
고객,이거 신청하려면 무주택이고 소득이 5천만 원 이하이면 신청 가능한가요?
상담사,네 대출 신청인과 배우자 합산 총소득이 5천만 원 이하시면 신청 가능하세요.
고객,오피스텔도 적용되나요?
상담사,네 오피스텔도 85m 제곱 이하면 대상 주택에 포함되어 대출 기간은 최소 이 년인가요?
고객,"네, 2년 기준으로 2년 단위 사회 연장 가능하며 최대 십 년까지 대출 가능해요."
상담사,상환 방법은요?
고객,일시 상환 또는 혼합 상환을 선택할 수 있습니다.
상담사,"네, 그럼 대출 금액 문의 좀 할게요."
고객,대출 한도는 어떻게 되나요?
상담사,임차 보증금의 70% 이내까지만 대출 가능하십니다.
고객,그래도 최대 가능 금액을 알고 싶습니다.
상담사,거주하시려는 곳 지역이 어디신가요?
고객,서울입니다.
상담사,신혼부부신가요?
고객,네 맞습니다.
상담사,수도권 신혼 가구는 최대 2억 원까지 대출 가능해요.
고객,"네, 감사합니다."
상담사,
