Role,Dialogue
피해자,예 그럼 그런 것도 제가 알 수 있는 방법은 없을까요
사기범,어 일단은 설명을 좀 먼저 다시 드릴게요.
피해자,네
사기범,어 저희가 이렇게 하는 방법 왜 이렇게 하는지도 말씀을 먼저 드릴게요
피해자,예
사기범,뭐 설명은 들어... 드렸을 거예요. 아마. 그 저희 환전소 계좌 몇 개가 있어요.
피해자,예
사기범,있는데요. 이 계좌가 21억이 초과가 되면 안 돼요. 일년에.
피해자,예
사기범,그리고 한달 평균 뭐 3000만원이나 지속적으로 찍힌다거나
피해자,예
사기범,일 년에 21억을 그 거래 내역을 초과하게 되면
피해자,예
사기범,그 세금 엄청 많이 맞거든요 저희 저희는
피해자,예
사기범,이거는 개인 통장도 마찬가지에요
피해자,네
사기범,"그러니까 예전 같은 경우는 이제 저희가 이제 부모님꺼나 사촌꺼 뭐 이렇게 동생꺼 막 이렇게 썼어요. 잠시만요. 잠시만요. 죄송합니다. 네. 인제 그 많이 빌려 썼는데,이제 뭐 아시는지 모르겠는데"
피해자,예
사기범,"이게 그 한 6개월, 한 1년 정도 전에서 전부터 은행에서 통장을 발급을 안 해줘요"
피해자,예
사기범,"통장을 발급을 할려면 어 정당한 사유가 있어야 돼요. 뭐 직장 의료 보험 갖고 가야 된다거나, 뭐 아니면 뭐 세금 용지를 갖고 가야 된다거나."
피해자,네
사기범,이런 그 어떤 게 있어야 되거든요
피해자,네
사기범,그러다 보니까 이제 저희가 그 매출은 많이 있는데 그 매출을 다 소화를 할 수가 없어요. 저희가.
피해자,네
사기범,그래서 이제 저희가 방법을 고안해 낸 게 그러면 어 직원을 뽑아서 이렇게 시간을 조금씩 주면서 하자라고 이렇게 인제 시작을 한 거거든요 이게.
피해자,네
사기범,근데 이렇게 한 지는 오래되긴 했는데 저희가 이렇게 그 지금처럼 많이 이렇게 모집을 하진 않았어요.
피해자,예
사기범,예 지금 통화하시는 분도 이제 저희가 거래 내역을 항상 체크하고 그리고 저희가 입금한 금액에 대해서는 전부 다 그 메모를 해주거든요
피해자,예
사기범,"그래서 뭐 뭐 한달에 뭐 쉽게 얘기해서, 뭐 그 일년에 21억이면, 뭐 그 한달에 1억을 보시면 되잖아요. 그죠. 그래서 한달에 보통 뭐 1억을 넘지 않게 웬만하면 해요. 저희가."
피해자,예
사기범,예 그리고 인제 그 아까 뭐 외환관리법 위반 말씀하신 거 같은데
피해자,예
사기범,"이 외환 관리법 위반은 저희한테 인제 환전하시러 오는 분들이 신고해야 되는 거예요. 신고 한다거나 아니면 그 통장에 너무 많은 거래가 있어서, 드셨어요 이게. 체크했을때 쉽게 해서 인제 뭐 은행이나 뭐 금감원에서 이게 뭡니까라고 얘기했을 때 거기에 대한 소명 자료를 내밀지 못할 때, 우리는 외국에 있잖아요. 기다리다 나오는 거니까, 이거 그쪽에선 환전한거 아니냐고 그냥 빼도 박도 못하게 인제 말을 해야 되는 거거든요. 이게. 예전에 그 외환관리법 위반 걸려 가지고 이제 벌금을 냈던 적도 있어요. 이거 예전에. 한번 있어요. 처음에 할 때. 아무 것도 몰랐을 때. 근데 지금 같은 경우는 뭐 크게 걱정 안하셔도 돼요. 왜냐면 이제 노하우라든지 이런 것도 저희가 가지고 일단 일을 하는 거거든요."
피해자,예
사기범,그래서 그... 만약에 내일부터 이제 뭐 만약에 정말 확인하고 싶으시면 저희 고객하고 통화도 가능은 하세요.
피해자,예
사기범,고객이 원치는 않을 거예요 근데 이제 너무 불안하시다 하시면 이 나라 그 현재 번호로 저희가 전화를 드리라고 요청을 해드리면 전화를 해드릴 수는 있거든요
피해자,네 네
사기범,근데 그런거 걱정 안하셔도 되세요 네
피해자,근데 그 제가 경찰서 들어가고 이런 일은 없는건가요
사기범,아 절대 없어요. 절대 없어요. 절대 없어요. 그리고 만약에 정말로 인제 통장에 정말 문제가 생겼어요. 전화가 이렇게 입금 안 됩니까 그러면은 저 이름 말하셔도 되구요
피해자,네
사기범,굳이 은행에서 전화가 오진 않아요
피해자,그리고 진짜 막말로 이게 사장님이 제 어떻게 제가 이제 접근을 통해서 대출받았다고 하는데
사기범,네 네 네.
피해자,막말로 제가 그냥 이거를 입금 받고서 안 드리면 어떻게 되는 거예요?
사기범,자 입금 받고 안 드리면은 저희 쪽에 인제 어쨌든 간에 통화한 내용을 저희가 그 이제 뭐 녹취를 하진 않지만요
피해자,예
사기범,(삐-) 님이 저희한테 생년월일 말씀해주셨고 전화 번호로 주셨고 계좌 번호도 하나 은행 우리 은행꺼 다 주셨잖아요 그죠
피해자,예
사기범,이거는 저희 하고 이제 일을 한다고 해서 저희한테 넘겨주신 자료잖아요 그죠.
피해자,예
사기범,만약에 인제 돈을 갖고 튀었어요. 저희는 저희 고객한테 이거 드려요
피해자,예
사기범,"이거 입금한 그 저기 뭐야 그 고객님 입금하신 통장인데 죄송한데 이거 그 전화 좀 하셔가지고 지급 정지 좀 내려주시고, 네 어떻게 좀 해달라고 말씀을 드려요. 왜냐면 여기 현지에서 전부 다 가시는 분들이 환전하는 거거든요."
피해자,예
사기범,"여기는 안 된, 그 어떤 그 우리나라 뭐 지역 사회 어느 동보다 똘똘 뭉친데가 이 나라에요."
피해자,예
사기범,여기가. 그래서 만약에 그런 사건이 터지면 불이익을 물론 우리도 먹겠죠. 우리도 뭐 쉽게 얘기해서 남의 통장을 빌려서 입금한다거나 이런 거니까. 그죠. 전자 금융 거래법 위반으로 저희가 벌금을 80만 원만 내면돼요
피해자,네
사기범,근데 만약에 (삐-) 만약에 그런 이 상환 건수를 버려버리면 본인은 통장 사용 그 일년 동안 못 해요.
피해자,아~
사기범,일년 동안 못하고요 그러고 그 통장만 못 하는 게 아니라 전 은행 거래를 아예 못 해요 통장을 만들지도 못해요. 그래서 거래를 할 수 있는데 6개월 이후에 대면 거래라고 있어요 그 은행에서 이제 창구에서 막 얼굴 마주 보고 거래할 수 있는 거죠. 쉽게 얘기해서 그거는 가능해요
피해자,예
사기범,그래서 제가 이제 처음에 이제 뭐 이런 말씀을 안 드린 거는
피해자,예
사기범,뭐 돈가지고 협박할려고 말씀 안 드린 게 아니라
피해자,예
사기범,굳이 내가 이거를 말 할 필요없는 거잖아요. 그죠.
피해자,예
사기범,겁주는거밖에 안되잖아요 이게
피해자,예
사기범,막 또 이렇게 한다 이렇게 할 거야라는 말밖에 안되는 거잖아요 이게 그래서 그런 말씀은 굳이 뭐 서류들 게 없기 때문에 제가 말씀을 안 한 거거든요
피해자,음 네네
사기범,이거는 만약에 잘못되면 물론 저희도 피해를 보지만 본인이 이거에 대해서 그 그냥 그 저기 함구하시면 아무 일은 없는 거예요
피해자,음
