Role,Dialogue
사기범,여보세요?
피해자,여보세요?
사기범,"고객님, 김진아 대리입니다."
피해자,네.
사기범,통화하셨어요?
피해자,네.
사기범,그쪽에다 뭐 혹시 다른거 물어보진 않던가요?
피해자,네. 네 뭐 다른거 물어본건 없어요. 저 관리자 전용계좌 열었거든요.
사기범,네.
피해자,기업은행이구요.
사기범,네.
피해자,OOOOOO-OO-OOOOOO
사기범,OOOOOO-OO-OOOOOO이요?
피해자,네네.
사기범,"네, 그러시면 고객님 이쪽 담당자 관리계좌로 상환하시면 되시는데요,"
피해자,네네.
사기범,"네, 잠시만요, 어 담당자 관리계좌로 상환을 하실때,"
피해자,네.
사기범,OOO팀장님이라고 OO나온다는 그 상태 다른 문구가 이제 확인이 되실거에요.
피해자,네네.
사기범,그 문구를 저한테 말씀을 해주셔야 되요.
피해자,아 그거를요?
사기범,네.
피해자,네.
사기범,잘 보셨다가 저한테 말씀해주시면 되시구요.
피해자,네.
사기범,"그리고, 허… 그 방문하실때, 담당자 관리계좌가 이제 사용시간이 있는데 30분 이내로 처리를 해주셔야 되요."
피해자,네네.
사기범,혹시 식사중이세요?
피해자,"아뇨, 아뇨."
사기범,"하하하핫, 어 그럼 은행 방문하시는거죠?"
피해자,네네네.
사기범,"은행창구 이용하실 때,"
피해자,네.
사기범,"은행창구에서 영수증 발행되시잖아요,"
피해자,네.
사기범,"그거 꼭 지참해주셔야 되시구요,"
피해자,네.
사기범,네.
피해자,교본은 어떻게 해요?
사기범,"어떻게요? 고객님? 교본은 일단 현대저축은행 쪽에서 저희쪽 인제 결제, 완납결제서류를 받아본 다음에 진행하실게요."
피해자,"네, 알겠습니다."
사기범,그리고 은행 방문하시는데 시간 어느정도 소요되세요?
피해자,"지금 바로 가면은 한, 사람없으면 금방 되겠죠."
사기범,"음… 그러시면은,"
피해자,네.
사기범,어… 어 좀 그래도 말씀 잘해주신거 같아서 다행이네요. 어 걱정하고 있었는데…
피해자,네.
사기범,"그러시면은 은행 방문하실 때,"
피해자,네네.
사기범,어 소요시간 5분정도 걸리시는 거에요?
피해자,"어, 한 10분정도 가면되겠네요."
사기범,10분정도요?
피해자,네.
사기범,"그러시면은 은행 들어가시기전에 은행앞에서 저한테 전화좀 주세요, 고객님."
피해자,"네, 알겠습니다. 가면되죠?"
사기범,네네네.
피해자,네.
사기범,지금 은행 방문하실때 은행앞에서 전화주세요. 고객님.
피해자,네.
사기범,네에.
피해자,네.
