Role,Dialogue
고객,해외송금은 은행 근무시간에만 가능한가요?
상담사,24시간 가능하세요?
고객,주말도 상관없나요?
상담사,"네, 가능합니다."
고객,해외송금을 했는데 그분은 아직 받지 못했대요.
상담사,최종이체 완료는 언제 확인되나요?
고객,몇 시쯤 이체하셨나요?
상담사,오후 영 시요 언제 보내셨나요?
고객,"지난 토요일이요, 해외송금은 입력 당일."
상담사,송금인의 계좌에서 인출은 되지만 은행 익 영업일에 순차적으로 해외로 송금됩니다.
고객,어느 지역으로 보내셨을까요?
상담사,미국입니다.
고객,미국일 경우 월요일 영업시간 중에 송금 완료될 겁니다.
상담사,국가마다 다른가요?
고객,해외 은행의 업무 처리 및 시차에 따라 수치 계좌에 입금되는 시기는 조금씩 다릅니다.
상담사,해외로 송금한 거래내역은 어디에서 확인할 수 있나요?
고객,"인터넷뱅킹에서 로그인하시어 외화 송금 내역, 일자별 송금 내역 조회를 하시면 됩니다."
상담사,송금 확인증도 뽑을 수 있나요?
고객,"네, 해당 화면에서 출력하실 수 있습니다."
상담사,옛날 자료도 확인이 가능한가요?
고객,
