Role,Dialogue
사기범,지역별로 이렇게 테스트 진행이 계약을 하게 되는데
피해자,네.
사기범,"오늘 접수하시게 되면은 저희가 이제 수도권 기준으로 내일, 어 테스트 결과는 보통 한 3시에서 네시 정도 나올 예정이구요."
피해자,네.
사기범,그러시고 저녁에 한 일곱 시 전에는 저희가 계약을 다 마무리할 겁니다. 제가 일단 접수를 바로 들어가겠습니다. 그 하나 은행 지금 계좌 확인되시죠?
피해자,네.
사기범,네. 계좌번호 불러주시겠어요?
피해자,OOOOOOOOOOOOOO번이요.
사기범,"예, 아 공 칠번 이요? 예, 제가 확인하겠습니다. OOOOOOOOOOOOOO번 맞으시죠?"
피해자,네.
사기범,"네, 비밀번호는 어떻게 되시죠?"
피해자,OOOO이요.
사기범,"OOOO이시구요. 네, 고객님 성함 확인부탁드립니다."
피해자,OOOOOOO네.
사기범,생년월일 앞에 여섯자리 확인 부탁드릴게요.
피해자,OOOOOO
사기범,어 지금 제가 기사님은 이제 보내드릴 텐데요.
피해자,네.
사기범,그 기사님 보내드릴 그 주소지 확인 좀 부탁드릴게요.
피해자,OOOOOO OOOOOO OOOOOO
사기범,에 따로 뭐 다세대 빌라 뭐 호수는 없는 건가요?
피해자,오실때 연락주시면 제가…
사기범,제가 중간에서 그렇게 잘 처리하겠습니다. 네 그러시고 어 아시다시피 고객님. 그 카드나 현금 통장같이 이런 금융 관련 물품들은 이제 배송금지 품목이라 저희가 이제 카드가 아닌 것처럼 이렇게 그 보장을 해주셔가지고 지금 저희 기사님 통해서 저희 담당자한테 보낼 건데요.
피해자,네.
사기범,어 저기 박스 포장으로 해서 이게 안에 카드나 통장이나 이런 부분이 아닌 것처럼 이제 그 보장을 해서 보내주셔야 돼요.
피해자,네.
사기범,제가 박스 포장 법을 좀 알려드리면요. 어~ 그 운동화 박스 혹시 있으시면 딱 좋구요.
피해자,있어요.
사기범,"아 그러세요. 마침 있네요. 예, 그거보다 작아도 되고 커도 상관없는데, 그 정도 사이즈 면담 적당해요."
피해자,네.
사기범,"운동화 박스있으시면은 어 운동화 박스 안에 그 체크카드가 마그네틱 부분이나 IC칩 손상이 되지 않도록 어 뭐 저 되게 뭐 뭐 버리실만한 책이라던가 뭐 잡지나 뭐 신문, 잘 이용하셔가지고 안에 책깔피식으로 잘 넣어서 상자안에 넣어 주시구요."
피해자,네.
사기범,어 무게가 너무 가볍지 않도록 그 의심받지 않도록 어 상자안 빈 공간에 뭐 신문지를 넣으시거나 뭐 아니면 뭐 뭐 다른 버리실만한 책자나 주변에 버리실만한 물건 뭐 걸레나 옷도 좋쿠요. 그런 걸로 이제 내용을 꽉 채워주시면은 이제 의심받지 않아요
피해자,아 네.
사기범,"물품처럼 저희가 보여주기 위해서 그래서 내용은 좀 꽉 채워주시고 나서, 어~ 박스테이프로 상자는 막 칭칭 감아주세요."
피해자,네.
사기범,중간에 누가 잘 열어 보지 않고 저희 담당자님만 받아서 바로 열어 보실 수 있게끔 그렇게 박스 포장하시는데 시간 대략 어느 정도 예상되실까요?
피해자,바로 가능해요.
사기범,그러시면은 포장하신 다음에 전화 한통화만 다시 부탁드리겠습니다.
피해자,네.
사기범,아 저도 지금 퀵 사무실을 섭외해야 되거든요. 네.
피해자,바로 접수해주시면 포장해 놓을게요.
사기범,아 뭐 땜에 그러냐면요. 제가 인제 그 박스 외관 상태라든가 아니면 내용물 무게 지금 대충 감이라도 좀 제가 잡 잡아야지 이제 물품 그 예를들면 어떤 품목으로 해가지고 접수를 넣을거거든요. 그냥 그냥 품목없이 접수하면 접수를 안 받아 줘요.
피해자,네.
사기범,아 사무실 쪽에서 그래서 대략적으로라도 일단 포장하시고 나서 저하고 통화 다시 한번 하겠습니다.
피해자,알겠습니다.
사기범,"네네, 감사합니다. 네."
