Role,Dialogue
고객,공 공 파도 타기 장기 주택 마련 신탁 안정 성장형 제2 이유는 무엇인가요?
상담사,가입일로부터 7년 이상 경과 시 이자 소득세 전액을 비과세해 줍니다.
고객,당해 연도 저축 불입액의 몇 프로 범위 내에서 소득공제 가능하나요?
상담사,40% 내에서 가능합니다.
고객,자동 분할 매매되나요?
상담사,네 매매 차익 누적으로 중장기적으로 안정적 수익을 추구합니다.
고객,또 다른 특징이 있나요?
상담사,매월 적은 금액으로 채권과 주식 등의 분산 투자는 적립식 신탁 상품입니다.
고객,가입 대상은요?
상담사,10010 8세 이상 무주택자이거나 전용면적 85 제곱미터 이하의 일 주택 소유자인 세대주입니다.
고객,분기마다 300만 원 이내입니다.
상담사,자유 적립식인가요?
고객,매회 만 원 이상 자유 적립식입니다.
상담사,세금 우대 되나요?
고객,해당 사항 없습니다.
상담사,중도 해지 시에는요.
고객,특별 중도 해지 시 신탁 이익 비과세 소득공제분 환입 없습니다.
상담사,신탁 재산의 운용 실적에 따라 이익의 배당이 달라질 수 있으며.
고객,경우에 따라서는 원본의 손실도 발생하실 수 있습니다.
상담사,
