Role,Dialogue
피해자,6시 되가지고 전화 해봤습니다.
사기범,예 예 그 앞전에 이면주 법무사님 영수증 확인되셨는데 나머지 차액 부분 있지 않습니까. 차액 부분은 아직 영수증 확인이 안 돼서 예 지금 전산 열어 놓고 저도 기다리고 있구요. 네 네 저도 최대한 좀 기다리고 있습니다
피해자,오늘까지 이거 꼭 전산만 확인 되면 마무리 되는 겁니까?
피해자,"전산만 확인되시면은요, 아 결제 부서 전화 들어가셔서 자금 수령되시는데 전혀 문제 없으실 겁니다. 이체 카드가 지금 이번꺼 같은 경우 에는 대출 시간이 좀 많이 지연되지 않으셨습니까?"
피해자,네
사기범,그렇기 때문에 2300만원 이라는 이체 카드가 소진이 되어 계셨기 때문에 저희 쪽에서 이제 임의적으로 받아 본 게 아니기 때문에
피해자,아 문자로 넣어 주실래요?
사기범,아 그러시면 제가 그렇게 해도 괜찮으시겠습니까?
피해자,아 계좌를 문자로
사기범,"예예 그러면요, 제가 일단 영수증 확인되고 결재부서에 올려드리고 고객님 자금 받아 가시면은 제가 고객님께 문자 남겨 드리겠습니다."
피해자,아 그리고 전자 서명도 같이 해야 한다던데. 핸드폰이 안되가지고..
사기범,전자 서명하셔도 되시고 아니시면은 저희쪽에서..
피해자,직접 서명 하면.. 대리님이 좀 도와 주셔야겠는데..
사기범,어떤 거요?
피해자,그 서명 하라 그랬잖아요.
사기범,전자 서명이 어려우시면은 등기로 그 이메일로 받으실 때
피해자,예
사기범,좀 저희 쪽에 이제 받지 않습니까?
피해자,"예 자금 수령 받을 때 무슨 전자 서명 해야 한다던데, 핸드폰이 안 되더라고요."
사기범,아 전자 서명이 안 보이세요?
피해자,예 그냥 어플은 받았는데 안 넘어 가요
사기범,고객 정보 등록해주시면은 전자 서명...
피해자,"고객 대출 뭐 입력하고 뭐 나오던데요, 하니깐."
사기범,잠시만요.
피해자,그러면 안보이는데 그게.
사기범,그게 보이셔야 되는데 그러시면은 그거 전자 서명이 안되시면은 저희 쪽에서 저희 쪽으로 서류를 두번 보내주셔야 되거든요
피해자,그거 수기로 해도 된다 그러던데 말로 하는거 있잖아요.
사기범,그거는 그 녹취가 또 들어가셔야 돼가지고
피해자,예 그 녹취로... 안되요 그게...
사기범,아 그러세요. 그러시면은 제가 이거 자금 받으시면은 팩스로 제가 다시 한번 전화 드릴게요.
피해자,아 그거 받고 제가 하는거에요 먼저?
사기범,예 좀... 그렇죠. 고객님 저도 고객님 자금 받기 전까지 퇴근 못 하지 않습니까.
피해자,아 예 알겠습니다. 그러면 기다릴게요.
사기범,"네 제가 영수증 확인되는 대로 바로 말씀드리고, 제가 최대한 빠르게 결재 부서에 올라가서요, 여섯 시 삼십분 이전에는 제가 빨리 최대한 좀 도움드릴 수 있도록 하겠습니다."
피해자,네 알겠습니다.
사기범,예 알겠습니다.
