Role,Dialogue
고객,우편으로 카드 사용 내역이 계속 와요 네 카드사는 고객님의 카드 내역을 통지해야 할 의무가 있습니다.
상담사,다른 방법 알려주세요.
고객,종이 내역을 받고 싶지 않으시다면 전자 내역을 받아보실 수 있습니다.
상담사,어떻게 합니까?
고객,카카오톡 혹은 이메일로 받아 보실 수 있습니다.
상담사,그렇군요.
고객,지금이라도 신청 가능합니까?
상담사,네 신청하실 수 있습니다.
고객,그럼 변경해 주세요.
상담사,본인 확인 메시지를 보냈습니다.
고객,번호가 어떻게 되나요?
상담사,공공공공공이요?
고객,네 답변 감사합니다.
상담사,고객님의 카드 한 건이 조회되고 있습니다.
고객,어떤 방법으로 변경 신청하시겠습니까?
상담사,카카오톡으로 받고 싶어요.
고객,네 카카오톡으로 변경하였습니다.
상담사,언제부터 받아볼 수 있는지 알려주세요.
고객,카카오톡으로 보낸 메시지를 받으셨습니까?
상담사,"네, 들어왔네요."
고객,"네, 다음 달 내역부터 카카오톡 알림으로 받으실 수 있습니다."
상담사,
