Role,Dialogue
사기범,"요 부분 일일 출금 안돼 있죠, 육백으로 설정하신 부분. 이 부분은 저희가 내부 내부 내부 자체 금액으로 해서 입금을 했다가 출금해 보는 부분으로 확인이 들어가는 부분이에요."
피해자,네
사기범,"저 전산으로 저희가 확인을 할 수가 없기 때문에 기록이, 기록이 안 남을 수가 없기 때문에 그렇게 하면, 저희 자체 내 금액으로 해서 확인하는 부분이니까. 요 부분 좀 기다려주셔야 되고. 예 요번 확인 들어갈 때 제가 전화를 드리고 이렇게 진행을 도와드리니까 조금만 기다려주시면 되고 바로 진행 도와드릴 수 있도록 해드리겠습니다."
피해자,아...
사기범,"예 오늘 시간대가 늦었기 때문에 오늘 늦어도 오후에 저희 업무 마감 전이나, 요 부분까지는 최대한 빨리 한번 움직여볼 거니까 조금 기다려 주시고. 시간 되면은 제가 중간중간 체크해서 말씀을 드릴 수 있도록 하겠습니다."
피해자,네
사기범,네 궁금한 사항 있으면 언제든지 저한테 바로 연락을 주시면
피해자,알겠습니다
사기범,네 알겠습니다. 전화 주십쇼 고객님.
피해자,예
사기범,좋은 하루 되시고 예
피해자,예
사기범,예
