Role,Dialogue
고객,공공주거래 드림 적금은 무엇인가요?
상담사,거래에 따라 우대하는 주거래 고객 특화 적금으로 소래 가입 시 드리는 적금 상품입니다.
고객,솔로 하면 혜택 있나요?
상담사,연 영점일 퍼센트 우대금리 드립니다.
고객,가입 기간은요 일 이 3년 중 선택 가능합니다.
상담사,"저축 한도는요, 월 100만 원 이내입니다."
고객,저축 방법은요?
상담사,자유 적립식입니다.
고객,추가 우대 금리 상황은요?
상담사,입출금 계좌 50만 원 이상 입금 및 신한 카드 결제 육 회 이상 또는 50만 원 이상 입금 및 공과금 자동이체 육 회 이상 시 비대면 채널을 통하여 신규하는 경우도 혜택 있나요?
고객,"네, 그렇습니다."
상담사,초 입금제 예치란 무엇인가요?
고객,고객이 신청한 경우에 한하여 최초 가입 시 납입한 금액만 자동 재예치되며 동금액을 제외한 원금 또는 이자 전액은 사 사전에 지칭한 본인이 입출금 계좌로 입금되는 서비스입니다.
상담사,일부 해지 가능한가요?
고객,이회 가능합니다.
상담사,비과세입니다.
고객,
